# KIC      Mass    Mass_e+ Radius  Radius_e+ Age         Age_e+     MH_0     MH_0_e+ Y       Y_e+   
  1435467  1.44474 0.02398 1.73977 0.01067   2335.90608  142.33962  0.25332  0.06154 0.26743 0.01678
  2837475  1.52077 0.02512 1.67161 0.01126   1288.82825  121.46212  0.25425  0.07084 0.26937 0.01867
  3427720  1.17003 0.0141  1.1387  0.00484   2187.82197  216.25874  0.11105  0.04459 0.24898 0.00772
  3456181  1.56762 0.02974 2.18422 0.0157    2145.39428  84.71073   0.1219   0.05907 0.255   0.01257
  3632418  1.47159 0.01303 1.94505 0.00583   2927.16645  120.81967  0.21264  0.03822 0.25315 0.00988
  3656476  1.03468 0.00944 1.29621 0.00413   8380.4896   322.86214  0.35678  0.02939 0.30634 0.00869
  3735871  1.18925 0.02089 1.12683 0.00684   1398.59954  348.09636  0.11831  0.05052 0.24933 0.00827
  4914923  1.13515 0.01174 1.38481 0.00459   6626.27276  333.76844  0.20557  0.04947 0.26237 0.01182
  5184732  1.23643 0.00924 1.35207 0.00328   4318.95957  215.07967  0.46893  0.02095 0.28159 0.00635
  5773345  1.54468 0.02764 2.04281 0.01323   2203.55527  116.19147  0.41156  0.0556  0.29132 0.0173 
  5950854  0.98608 0.01727 1.24543 0.00752   9039.70158  601.76624  -0.03295 0.05695 0.26114 0.01602
  6106415  1.15848 0.00694 1.24974 0.00229   4451.35796  210.85952  0.10977  0.02471 0.24651 0.00518
  6116048  1.10901 0.00861 1.26091 0.00299   5910.94003  298.86766  0.064    0.03155 0.24756 0.00623
  6225718  1.30297 0.00786 1.28858 0.0023    1949.7657   177.87651  0.25105  0.02502 0.2436  0.00342
  6508366  1.59991 0.02145 2.21898 0.01214   2089.61839  88.51189   0.21229  0.05968 0.26192 0.01499
  6603624  0.99319 0.00678 1.14232 0.0027    8761.22342  187.83935  0.3009   0.02655 0.29568 0.00741
  6679371  1.68368 0.02399 2.28138 0.0126    1724.08148  78.78636   0.26323  0.0624  0.26455 0.0165 
  6933899  1.19039 0.00466 1.61664 0.00233   6552.82842  106.56595  0.1576   0.01146 0.24869 0.00322
  7103006  1.61865 0.02312 2.02534 0.01024   2078.23541  98.90225   0.35761  0.0458  0.2568  0.01249
  7206837  1.46895 0.02545 1.62239 0.01013   2033.65529  166.53349  0.34528  0.05588 0.25832 0.01376
  7296438  1.14824 0.01623 1.39035 0.00682   6861.33287  373.4708   0.30027  0.0466  0.26741 0.01313
  7510397  1.4153  0.01286 1.88551 0.00638   3050.30244  104.25866  0.10062  0.04057 0.24976 0.00827
  7680114  1.10834 0.01239 1.41125 0.00517   7228.70734  350.82067  0.18695  0.05371 0.26732 0.01347
  7771282  1.36395 0.04664 1.67804 0.02023   2944.72425  249.28398  0.18918  0.06718 0.26597 0.02002
  7871531  0.82165 0.01508 0.86638 0.00535   9311.91613  517.30388  -0.05625 0.04253 0.28764 0.01447
  7970740  0.78199 0.0058  0.77942 0.00194   10193.8658  526.0374   -0.2645  0.02782 0.24372 0.00339
  8006161  0.92008 0.0065  0.90698 0.00216   5124.96552  231.61382  0.3506   0.03788 0.31806 0.00859
  8150065  1.25646 0.04522 1.42244 0.01809   3254.21285  405.64184  0.19239  0.07961 0.26861 0.02174
  8179536  1.37341 0.02131 1.39989 0.00794   1578.68755  201.35449  0.22873  0.05236 0.25042 0.00885
  8228742  1.39994 0.01082 1.88701 0.00486   3541.93204  175.85918  0.14297  0.03505 0.24772 0.00673
  8379927  1.23753 0.009   1.16267 0.00255   1437.71091  219.35406  0.25955  0.03228 0.24656 0.00565
  8394589  1.16546 0.01239 1.21224 0.00424   3415.45849  289.50075  0.05762  0.03871 0.24555 0.00521
  8424992  0.89002 0.02104 1.03472 0.00843   9490.14119  568.59519  0.04168  0.06835 0.29557 0.02104
  8938364  1.01384 0.00595 1.36106 0.00306   9292.06084  151.32596  -0.08698 0.02277 0.24447 0.00374
  9025370  0.97044 0.01785 1.00001 0.00615   4665.37592  336.70397  0.16722  0.08721 0.30381 0.02001
