# KIC      Mass    Mass_e+ Radius  Radius_e+ Age         Age_e+    MH_0     MH_0_e+ Y       Y_e+   
  1435467  1.40646 0.02121 1.72431 0.00913   2184.11217  44.49077  0.33786  0.04497 0.30118 0.01275
  2837475  1.52528 0.023   1.66992 0.00881   1095.95165  51.08513  0.33157  0.04628 0.28864 0.01555
  3427720  1.174   0.00975 1.13993 0.00379   2204.95133  74.79587  0.09073  0.03714 0.24333 0.00287
  3456181  1.56322 0.02455 2.1814  0.01258   2117.09644  44.64243  0.12492  0.0497  0.25827 0.01184
  3632418  1.43657 0.01694 1.93148 0.00758   2888.24925  51.13257  0.30414  0.03382 0.28275 0.01153
  3656476  1.03661 0.00501 1.29752 0.00228   8633.66927  121.18724 0.38127  0.00707 0.30605 0.0036 
  3735871  1.18154 0.01132 1.12415 0.00407   1538.27916  139.00061 0.08093  0.03887 0.24543 0.00515
  4914923  1.12571 0.00591 1.38119 0.00253   6486.53792  121.59569 0.2753   0.02403 0.27995 0.00507
  5184732  1.23134 0.00495 1.35081 0.00194   4498.83164  64.65185  0.49145  0.005   0.28474 0.00254
  5773345  1.56256 0.01845 2.05055 0.00848   2131.38276  35.501    0.48208  0.01616 0.29803 0.00838
  5950854  0.99646 0.01052 1.2505  0.00466   9141.31647  362.15633 0.00589  0.04656 0.25981 0.01199
  6106415  1.1426  0.00523 1.24429 0.00187   4547.07832  73.91413  0.13549  0.02629 0.25708 0.00585
  6116048  1.08868 0.00354 1.25124 0.00144   5828.10993  82.16376  -0.04599 0.01813 0.24365 0.00321
  6225718  1.28427 0.00478 1.28337 0.00182   2284.85371  57.20545  0.24096  0.0184  0.24345 0.00267
  6508366  1.5651  0.02141 2.20352 0.01048   1970.04682  37.12763  0.32375  0.05335 0.29729 0.01387
  6603624  1.01453 0.00525 1.15093 0.00211   8982.03376  86.45261  0.30741  0.01967 0.28253 0.00426
  6679371  1.70041 0.02292 2.28786 0.01059   1636.82341  36.17447  0.34853  0.0331  0.27689 0.01277
  6933899  1.18921 0.00403 1.61625 0.00212   6578.50092  67.14572  0.16443  0.00748 0.24996 0.00247
  7103006  1.59733 0.01742 2.01789 0.00743   1992.5386   39.75378  0.46855  0.02876 0.28455 0.01065
  7206837  1.4533  0.02712 1.61821 0.01071   1936.01723  56.31716  0.44284  0.03338 0.28229 0.01365
  7296438  1.10161 0.00366 1.37057 0.00166   6443.18862  115.46247 0.38388  0.01774 0.308   0.00347
  7510397  1.39825 0.01126 1.87588 0.00542   3007.72924  41.11821  0.06047  0.02406 0.25178 0.00735
  7680114  1.10867 0.00749 1.41203 0.00322   7188.37663  134.50455 0.25594  0.03318 0.27862 0.00769
  7771282  1.34092 0.04219 1.66712 0.01832   2853.68587  115.63506 0.16935  0.06092 0.27544 0.02266
  7871531  0.81883 0.00898 0.86544 0.00327   9066.59855  219.55349 -0.02209 0.02996 0.29665 0.00916
  7940546  1.45766 0.01622 1.9864  0.0077    2787.30287  52.79826  0.2624   0.02051 0.27626 0.01003
  8006161  0.941   0.00577 0.91425 0.00195   5278.18261  79.88741  0.38214  0.01211 0.30468 0.00446
  8150065  1.27532 0.03626 1.43038 0.01469   3178.889    242.98982 0.21702  0.05932 0.26492 0.01967
  8179536  1.37254 0.01799 1.39905 0.00755   1574.46645  82.31637  0.20977  0.05005 0.24814 0.00699
  8228742  1.36546 0.00929 1.87941 0.0047    4401.99938  196.25423 0.29887  0.03393 0.26354 0.00644
  8379927  1.22888 0.00402 1.15906 0.00155   1501.07497  55.46497  0.20001  0.02245 0.24232 0.00244
  8394589  1.14206 0.00839 1.20371 0.00343   3686.48498  120.01176 0.00623  0.03661 0.24568 0.00468
  8424992  0.90564 0.01207 1.04153 0.00475   9519.14273  265.52887 0.12005  0.05146 0.29616 0.01406
  8938364  1.00634 0.0046  1.35746 0.0024    9321.19894  79.22423  -0.10819 0.01753 0.24457 0.00253
  9025370  0.98891 0.01274 1.0063  0.00456   4491.3203   120.86866 0.1189   0.05025 0.28756 0.01196
  9098294  0.99914 0.0068  1.15367 0.00254   7835.70659  147.24756 0.00299  0.03698 0.259   0.00864
  9139151  1.21317 0.00849 1.17086 0.00307   1881.12845  99.24758  0.15829  0.03247 0.2453  0.0048 
  9139163  1.49576 0.01371 1.60479 0.00534   1545.63204  26.10446  0.4506   0.02451 0.27442 0.00735
  9206432  1.55161 0.02249 1.56153 0.00892   804.9635    70.22896  0.31505  0.05208 0.25335 0.0094 
  9353712  1.49429 0.03199 2.16787 0.01619   2216.34519  52.26684  0.17231  0.04562 0.28717 0.01752
  9410862  1.00397 0.01676 1.16718 0.00667   6318.97747  290.8334  -0.10282 0.04976 0.2655  0.01522
  9414417  1.4778  0.01679 1.95452 0.00807   2539.20965  48.20106  0.14985  0.03504 0.25623 0.01021
  9812850  1.42121 0.02654 1.83709 0.01191   2352.22074  56.67718  0.32104  0.04928 0.30106 0.01544
  9955598  0.88031 0.0106  0.87923 0.00368   7047.74872  165.49184 0.13947  0.03669 0.28653 0.01096
  9965715  1.23397 0.01092 1.33109 0.00482   2643.88076  89.74455  -0.04593 0.02952 0.24271 0.00251
  10068307 1.47771 0.00818 2.11316 0.00458   3232.06334  64.61031  0.24807  0.02795 0.26099 0.00563
  10079226 1.17438 0.02984 1.16467 0.01045   2458.11113  256.92973 0.24979  0.05549 0.26943 0.01774
  10162436 1.45828 0.01618 2.05503 0.00768   2731.7291   46.49908  0.31543  0.03314 0.2927  0.01014
  10454113 1.32597 0.0129  1.3008  0.00438   1425.64945  84.83698  0.32901  0.04409 0.25953 0.0092 
  10516096 1.10983 0.01229 1.42154 0.00567   6389.18957  222.73924 0.20684  0.04356 0.28362 0.01084
  10644253 1.22506 0.01219 1.13951 0.00431   971.36779   93.96963  0.20866  0.04128 0.25001 0.00739
  10730618 1.40345 0.03096 1.79834 0.01462   2215.83992  64.3129   0.35604  0.07319 0.31466 0.017  
  10963065 1.13534 0.00494 1.24905 0.0018    4307.1405   88.55183  -0.00486 0.03066 0.24795 0.00561
  11081729 1.48123 0.02007 1.48426 0.00772   1026.54812  99.69688  0.26039  0.04394 0.24469 0.00472
  11253226 1.49572 0.01682 1.64627 0.00623   1040.29138  39.39013  0.38813  0.03769 0.30786 0.01118
  11772920 0.7906  0.01943 0.83121 0.00713   8654.79641  353.08313 -0.07262 0.07602 0.30598 0.01812
  12009504 1.27856 0.00916 1.44203 0.00439   3493.78104  91.33097  0.11708  0.03005 0.24231 0.00207
  12069127 1.59982 0.03536 2.29993 0.01829   1867.51199  64.14172  0.24254  0.07337 0.28576 0.02131
  12069424 1.05747 0.00358 1.21836 0.00139   7200.97825  73.05492  0.19766  0.0198  0.27202 0.00441
  12069449 1.0119  0.00447 1.10476 0.00163   7107.86089  61.09731  0.209    0.02231 0.27905 0.00531
  12258514 1.2747  0.00502 1.61049 0.0024    4528.56835  67.54852  0.11651  0.01618 0.24704 0.0034 
  12317678 1.53312 0.01288 1.89818 0.00549   1964.77379  38.32232  0.1199   0.02568 0.24793 0.00703
  Sun      1.0073  0.00209 1.00021 7.1E-4    4662.22324  64.02331  -0.07494 0.0086  0.24184 0.00138
  3425851  1.34845 0.04375 1.4114  0.01696   1644.44672  154.93681 0.18392  0.07163 0.26183 0.01803
  3544595  0.92031 0.0113  0.92213 0.00403   6679.09971  210.69972 -0.05901 0.04365 0.25271 0.0096 
  4141376  1.01787 0.03625 1.03743 0.01288   3518.80086  577.13095 -0.13795 0.06801 0.26449 0.02056
  4349452  1.26459 0.03906 1.33345 0.01473   2120.86621  154.99869 0.17339  0.06734 0.26987 0.02145
  4914423  1.18011 0.02045 1.48221 0.00903   6701.06389  460.84477 0.2067   0.04979 0.24926 0.00856
  5094751  1.12546 0.02817 1.36262 0.01196   5875.22731  340.6605  0.16893  0.05589 0.27131 0.01787
  5866724  1.34475 0.02812 1.44926 0.01084   2547.06466  129.13225 0.27261  0.04057 0.25563 0.01362
  6196457  1.33258 0.02898 1.76868 0.01409   4410.63174  270.40444 0.25208  0.05959 0.26203 0.01728
  6278762  0.75579 0.01016 0.75289 0.00343   11257.51535 595.58412 -0.04466 0.04415 0.2648  0.01392
  6521045  1.14805 0.00991 1.52414 0.00466   6266.25854  164.43957 0.04378  0.0339  0.25025 0.00718
  7670943  1.2561  0.04667 1.42178 0.0196    2478.8271   128.52454 0.07702  0.06879 0.27514 0.02295
  8077137  1.26435 0.02592 1.69047 0.01268   3787.63364  172.68149 -0.01485 0.05257 0.26023 0.01454
  8292840  1.23077 0.02206 1.36879 0.00962   2786.58808  113.54773 -0.04641 0.04835 0.25044 0.00918
  8349582  1.01523 0.0123  1.38928 0.00595   8092.49626  391.27436 0.30242  0.03113 0.3212  0.00715
  8478994  0.83536 0.00729 0.77997 0.00235   4723.30334  477.3044  -0.15345 0.03982 0.24553 0.00507
  8494142  1.15289 0.01303 1.76967 0.00871   4350.83665  158.11929 0.24555  0.04564 0.3339  0.00624
  8554498  1.3011  0.00923 1.84582 0.00504   5816.71719  113.22851 0.30025  0.02347 0.24905 0.00569
  8866102  1.35213 0.02161 1.39923 0.00847   1742.37678  71.61821  0.19593  0.03624 0.25283 0.00891
  9592705  1.49867 0.03068 2.11576 0.01488   2140.27969  46.15816  0.42939  0.03512 0.32283 0.01335
  10514430 1.04855 0.00898 1.57833 0.00508   8167.01576  125.18258 -0.08158 0.03347 0.25456 0.00461
  10586004 1.19599 0.02579 1.6578  0.01134   7048.27568  453.11379 0.27171  0.05315 0.25907 0.0066 
  10666592 1.5694  0.03308 2.00451 0.01504   1885.14358  49.73905  0.25878  0.04258 0.27028 0.0162 
  11133306 1.17271 0.04453 1.2265  0.01606   3499.08963  674.91378 0.17386  0.07009 0.26023 0.01706
  11295426 0.94183 0.01067 1.14098 0.00414   6370.02549  439.3618  0.14558  0.03234 0.33466 0.00471
  11401755 1.12542 0.03688 1.66196 0.01858   7010.42742  350.87971 0.01311  0.06478 0.25261 0.0071 
  11807274 1.29631 0.0251  1.60095 0.01113   3297.66818  100.53106 0.06354  0.0395  0.25842 0.01353
  11853905 1.19305 0.01555 1.58329 0.00692   6727.38566  403.07777 0.18189  0.03568 0.24672 0.00494
  11904151 0.91107 0.01596 1.06239 0.00633   10066.67823 367.10678 0.07825  0.05615 0.28542 0.01598
